"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Solyc05g007830.3",-8.83394625392068,-0.970621831979317,-4.4946356323304,4.16467925508999e-05,0.00134245832863291,-1.1364709155825
"Solyc09g160710.1",8.73749857240995,3.18451355667924,5.19714110480434,3.77622068150743e-06,0.00019000837234024,0.930951724329395
"Solyc12g094620.3",-8.70597236408807,-0.0791043880797376,-4.49586679460638,4.14759262851948e-05,0.00134245832863291,-1.08625591249242
"Solyc10g055800.2",-8.26944508832473,-0.580143439152339,-4.29099694816301,8.17507448139293e-05,0.00248017333163435,-1.38534781141167
"Solyc01g020460.3",-10.3079452567322,1.36974528108845,-6.93657171648384,4.53439080848894e-05,0.00201110089727807,2.20943626533821
"Solyc06g062540.3",-7.58822625086813,1.92149941834889,-10.3513345039528,1.40981181950533e-06,0.00129949782338628,5.05749902167333
"Solyc04g008610.3",-7.54942436223952,0.0712507594366441,-6.89875866331308,4.74338645421535e-05,0.00205717307352465,2.13575487054151
"Solyc02g085430.4",-7.50335586504989,0.123007333356214,-5.4326297076178,0.000313263219808923,0.00547191456381991,0.588549460866419
"Solyc11g021067.1",-6.75718465123777,-0.410556766250667,-6.84796419325663,5.04073140420296e-05,0.00209026427049896,2.05593808417793
"Solyc05g054170.5",-6.28115752482577,-0.550237221367133,-5.67635370521822,0.000224368159924136,0.00439337138150742,0.843879708190908
"Solyc10g009140.3",-6.25459062057814,1.54164616331502,-7.86913010311247,1.57155529356413e-05,0.00133595296247064,3.23090249458439
"Solyc01g108280.3",-6.20813060998566,4.39900451771068,-4.74199486011113,0.000844454979671391,0.010556722117191,-0.286486686460792
"Solyc02g071710.3",-6.19017186591927,1.2557081702908,-8.2589999715146,1.03728953546921e-05,0.00129949782338628,3.53673685963574
"Solyc06g062820.4",-6.17607364398661,4.62921414818309,-8.4802103228459,8.24942848758311e-06,0.00129949782338628,4.0545945810556
"Solyc06g076560.2",5.00481010841323,5.40221134488752,10.5625020171702,1.14919577852526e-07,0.000502485854160172,5.8920636527549
"Solyc01g095330.2",4.95540604657383,7.36105054262506,8.39729735983191,1.51246827721963e-06,0.00293923001873014,5.24270809671146
"Solyc08g062340.3",4.81729756378129,7.12977247872309,17.0956708907221,3.68070174868521e-10,6.43754735845043e-06,10.7375019824862
"Solyc03g123540.3",4.32693626329318,4.74328025541558,9.60154235626082,3.41191987603867e-07,0.000899455410985696,4.92608737079214
"Solyc09g015000.4",4.0160409574004,6.82135212676917,13.8785405060633,4.61237494754372e-09,4.03352189162698e-05,9.37217496571732
"Solyc01g102960.3",3.77014150614526,6.63161544975749,11.8745221510216,2.94157492020255e-08,0.000171493817847809,8.13694557950375
"Solyc09g007270.3",3.58398591467232,5.89929476551243,9.84061082086363,2.5825396903696e-07,0.000899455410985696,6.30631547338125
"Solyc06g076570.4",3.42705270473526,5.40425527442368,8.14373141775036,2.11066354280587e-06,0.00369155053636747,4.57383077889288
"Solyc06g011400.2",3.02146127959794,4.89034946589172,7.98488428744172,2.61042627014403e-06,0.004150577769529,4.24597713301487
"Solyc04g014480.3",3.01243845703613,5.30593468988349,9.5560336003326,3.59987871749564e-07,0.000899455410985696,5.88643680979587
"Solyc12g011310.2",8.89129849690195,1.96151795739474,8.53423272061326,3.00633448872682e-05,0.00928405173130901,1.15440156482638
"Solyc12g042830.3",8.27594261917204,0.490544786925251,8.43228044107845,3.2771186500107e-05,0.00953641527153114,1.10450135601072
"Solyc09g092690.3",7.32150625253028,4.95228912240845,17.4306521515426,1.42582136181207e-07,0.000219725805391518,7.01164445779691
